140449503527216,100,0,1,9814,6,"(3, 10)",BUSH,0,0
140449503480800,100,0,1,3814,6,"(4, 12)",BUSH,2,0
140449503481040,100,1,0,14314,6,"(4, 14)",OPEN,0,0
140449503481424,100,0,1,8314,5,"(5, 4)",BUSH,2,0
140449503527024,100,0,1,11314,6,"(5, 8)",BUSH,1,0
140449503481568,100,1,0,2314,6,"(5, 14)",OPEN,0,0
140449503480848,100,0,1,5314,6,"(6, 4)",BUSH,2,0
140449503481664,100,1,0,11314,6,"(6, 9)",OPEN,0,0
140449503481280,100,1,0,5314,6,"(7, 13)",OPEN,0,0
140449503481232,100,0,1,9814,6,"(9, 3)",BUSH,1,0
140449503527312,100,0,1,9814,6,"(9, 4)",BUSH,3,0
140449503477920,100,1,0,8314,6,"(9, 6)",OPEN,0,0
140449503481616,100,1,0,6814,5,"(10, 11)",OPEN,1,0
140449503527264,100,0,1,2314,6,"(10, 14)",BUSH,0,0
140449503480992,100,1,0,11314,6,"(11, 1)",OPEN,2,0
140449503481088,100,0,1,6814,6,"(11, 2)",BUSH,3,0
140449503527072,100,0,1,5314,6,"(11, 5)",BUSH,1,0
140449503742848,100,0,1,9814,6,"(11, 5)",BUSH,1,0
140449503477824,100,1,0,5314,6,"(12, 2)",OPEN,3,0
140449503527168,100,0,1,6814,6,"(12, 3)",BUSH,0,0
140449503527360,100,0,1,5314,6,"(12, 5)",BUSH,1,0
140449503236496,100,1,0,14314,6,"(12, 6)",OPEN,1,0
140449503481136,100,1,0,6814,6,"(12, 10)",OPEN,0,0
140449503480656,100,0,1,8314,6,"(12, 11)",BUSH,0,0
140449503480896,100,0,1,9814,6,"(12, 13)",BUSH,1,0
140449503479984,100,0,1,2314,6,"(13, 2)",BUSH,0,0
140449503236400,100,1,0,6814,6,"(13, 3)",OPEN,1,0
140449503527120,100,0,1,5314,6,"(13, 8)",BUSH,0,0
140449503477872,100,0,1,5314,6,"(13, 8)",BUSH,0,0
140449503481808,100,1,0,3814,6,"(13, 12)",OPEN,0,0
140449503481328,100,1,0,3814,6,"(14, 2)",OPEN,0,0
140449503480704,100,1,0,12814,6,"(14, 5)",OPEN,0,0
140449503481472,100,1,0,11314,6,"(14, 6)",OPEN,2,0
140449503742848,150,0,1,9814,6,"(0, 5)",BUSH,1,0
140449503481760,150,0,1,9814,6,"(0, 11)",BUSH,1,0
140449503527024,150,0,1,9814,6,"(0, 14)",BUSH,1,0
140449503481616,150,1,0,2314,5,"(2, 3)",OPEN,0,0
140449503480656,150,1,0,-686,6,"(2, 4)",OPEN,0,0
140449503559984,150,1,0,-686,5,"(3, 0)",OPEN,1,0
140449503481520,150,0,1,5314,6,"(4, 4)",BUSH,0,0
140449503477872,150,1,0,814,6,"(4, 7)",OPEN,0,0
140449503481568,150,1,0,5314,6,"(4, 10)",OPEN,1,0
140449503527312,150,0,1,9814,6,"(4, 12)",BUSH,0,0
140449503481664,150,1,0,3814,6,"(6, 7)",OPEN,0,0
140449503481472,150,1,0,5314,6,"(6, 7)",OPEN,0,0
140449503481808,150,1,0,12814,6,"(7, 0)",OPEN,2,0
140449503477920,150,1,0,8314,6,"(7, 1)",OPEN,2,0
140449503480992,150,1,0,2314,6,"(7, 6)",OPEN,3,0
140449503481280,150,1,0,8314,6,"(7, 13)",OPEN,0,0
140449503527216,150,0,1,3814,6,"(8, 11)",BUSH,0,0
140449503236496,150,0,1,5314,6,"(9, 8)",BUSH,2,0
140449503481136,150,1,0,-686,6,"(9, 10)",OPEN,2,0
140449503527360,150,0,1,6814,6,"(10, 2)",BUSH,4,0
140449503479984,150,1,0,814,6,"(10, 3)",OPEN,1,0
140449503527072,150,0,1,12814,6,"(10, 8)",BUSH,2,0
140449503236400,150,0,1,6814,6,"(10, 14)",BUSH,0,0
140449503481328,150,1,0,3814,6,"(11, 0)",OPEN,0,0
